單字(一)
Expert | 專家 | 名詞
semester | 學期 | n.
reusable | 可重複使用的 | adj.
Utility | 公共設施(電/水/瓦斯)、效用 | n.
fabrics | 布料、織物 | n.
supposed | 應當的、預計的 | adj.
shipped | 運送、出貨 | v. (p.p.)
industrial | 工業的、產業的 | adj.
tiles | 磁磚、瓦片 | n.
relocating | 搬遷、遷徙 | v. / n.
driveway | 私人車道 | n. 
trails | 小徑、步道、痕跡 | n. 
commonly | 通常、一般地 | adv. 
pave | 鋪設(路面)、鋪砌 | v.
multinational | 多國的、跨國的 | adj. 
matters | 事項、問題、事件 | n. 
diverse | 多樣的、多元的 | adj. 
passionate | 熱情的、熱愛的 | adj. 
diplomatically | 外交地、委婉地、圓滑地 | adv. 
tendency | 傾向、趨勢 | n. 
imperative | 至關重要的、迫切的、必要的 | adj.
chronological | 按時間順序的 | adj. 
orderly | 整齊的、有條理的 | adj. 
determination | 決心、判定 | n. 
combination | 結合、組合 | n. 
component | 零件、成分、組成部分 | n. 
inclination | 傾向、意願、愛好 | n.
 exaggerated | 誇張的、言過其實的 | adj. 
sink | 水槽；下沉 | N., V.
weed | 雜草；清除雜草 | N., V.
temporary | 暫時的；臨時的 | Adj.
metro | 大眾捷運系統；地鐵 | N.
prescription | 處方籤；藥方 | N.
premiere | 首映；首次公演 | N., V.
directions | 指示；方向 | N. (Pl.)
strictly | 嚴格地；完全地 | Adv.
reasonable | 合理的；公道的 | Adj.
dated | 過時的；陳舊的 | Adj.
permanent | 永久的；固定的 | Adj.
valuable | 有價值的；寶貴的 | Adj.
comments | 評論；意見 | N. (Pl.)
assessment | 評估；考核 | N.
conventional | 傳統的、慣例的 | adj.
marginal | 微小的、邊緣的 | adj.
memorable | 值得紀念的、難忘的 | adj.
prosperous | 繁榮的、興旺的 | adj.
general | 一般的、普遍的、總體的 | adj.
console | 慰問、安撫 | v.
ideal | 理想的 | adj.
inferior | 較差的、次等的 | adj.
factual | 事實的、真實的 (你筆記中的 favtual 應為此字) | adj.
polite | 有禮貌的 | adj.
succinct | 簡潔的、扼要的 | adj.
competent | 有能力的、勝任的 | adj.
given that | 考慮到、鑒於 | conj phr.
as well as | 以及、還有 | conj phr.
upon | 在...之上、一...就... | prep.
densely | 稠密地、密集地 | adv.
evenly | 均勻地、平均地 | adv.
conclude | 結論、結束、推斷 | v.
consequently | 因此、結果 | adv.
conversely | 相反地 | adv.
disrupts | 打斷、中斷、擾亂 | v.
on behalf of | 代表... | phr.
anonymous | 匿名的 | adj.
consumption | 消耗、消費 | n.
assume | 假設、承擔  | v.
career expo | 就業博覽會 | n phr.
skiers | 滑雪者 | n.
helmet | 安全帽、頭盔 | n.
slopes | 斜坡、山坡、滑雪道 | n.
settled | 解決、定居、付清 | adj. / v.
paid | 已付款的 | adj. / v.
demanded | 要求、需求 | v. (p.p.)
established | 已建立的、確定的、知名的 | adj.
implied | 暗示的、含蓄的 | adj.
rental | 出租、租賃 | n. / adj.
estate | 地產、資產 | n.
flexible | 有彈性的、靈活的 | adj.
enrollment | 登記、報名、註冊人數 | n.
moisture | 濕氣、水分 | n.
detergent | 清潔劑、洗衣粉 | n.
borrow | 借、借入 | v. 
occupancy | 居住、佔用、(飯店)入住率 | n. 
capacity | 容量、能力、生產量 | n. 
thrilled | 非常興奮的、欣喜若狂的 | adj. 
amenities | 便利設施、娛樂設施 | n. 
beachgoers | 去海邊玩的人 | n. 
shore | 海岸、濱 | n. 
attribute | 歸因於、特質、屬性 | v. / n. 
an abundance of | 大量的、豐富的 | phr. 
scouting | 偵查、搜索、尋找(人才/地點) | n. / v. 
long overdue | 早就該發生的、拖延很久的 | adj phr. 
stages | 階段、舞台 | n. 
interactive | 互動的 | adj.
phases | 階段、時期 | n.
compliment | 稱讚、讚美 | n. / v.
auditions | 試鏡、試演 | n. / v.
baking | 烘焙 | n.
pastry | 糕點、點心 | n.
enormous | 巨大的、極大的 | adj.
amateur | 業餘的 | adj. / n.
promising | 有前途的、大有可為的 | adj.
invitation | 邀請、請帖 | n.
intensive | 密集的、強烈的 | adj.
finalists | 決賽選手 | n.
enthusiastic | 熱情的、熱心的 | adj.
teenagers | 青少年 | n.
supposed | 應當的、預計的 | adj.
odorless | 無嗅的、無氣味的 | adj.
cruise | 郵輪、巡航 | n. / v.
mini-coach | 小型巴士、中型客車 | n.
magnificent | 宏偉的、壯麗的 | adj.
notable | 顯著的、值得注意的 | adj.
accomplishments | 成就、成績 | n.
artifacts | 文物、手工藝品 | n.
examine | 檢查、審查、檢驗 | v.
revolving | 旋轉的、循環的 | adj.
ferry | 渡輪 | n. / v.
prior | 先前的、優先的 | adj.
racks | 架子、置物架 | n.
e-commerce | 電子商務 | n.
Perhaps | 也許、可能 | adv.
collections | 收藏品、系列(服裝)、催繳款項 | n.
continent | 洲、大陸 | n.
prestigious | 有聲望的、聲譽卓著的 | adj.
deliberate | 故意的、謹慎的、深思熟慮的 | adj. / v.
provided that | 只要...、在...條件下 | conj phr.
as though | 彷彿、好像 | conj phr.
except for | 除了...之外 | prep phr.
resist | 抵抗、抗拒、耐(磨/熱) | v.
silently | 沉默地、安靜地 | adv.
awkwardly | 尷尬地、笨拙地 | adv.
solidly | 堅固地、可靠地、一致地 | adv.
sharply | 大幅地、劇烈地、銳利地 | adv.
terminated | 被終止、被解僱 | v. (p.p.)
conserve | 節約、保存、保護 | v.
to the extent of | 到...的程度 | phr.
in preference to | 優於...、而非... | phr.
occupation | 職業、佔用 | n.
blade | 葉片、刀刃 | n.
motor | 馬達、發動機 | n.
grade | 等級、成績、評分 | n. / v.
reassurance | 放心、保證、寬慰 | n.
recreation | 娛樂、消遣 | n.
boutique | 精品店、專賣店 | n.
engages | 從事、參與、吸引 | v.
essential | 必要的、不可或缺的 | adj.
stylus | 觸控筆、觸控針 | n.
stamped | 蓋章的、壓印的 | adj. / v. (p.p.)
serial | 序號、連續的 | n. / adj.
annually | 每年地 | adv.
stainless | 不鏽的、無暇的 | adj.
steel | 鋼、鋼鐵 | n.
dispenser | 販賣機、分配器、給料器 | n.
doubt | 懷疑、不確定 | n. / v.
strength | 力量、優點、強度 | n.
forced | 強迫的、被迫的 | adj.
precipitation | 降雨量、降水 | n.
subsidizing | 補貼、資助 | v.
affiliated | 附屬的、隸屬的 | adj.
subtracted | 減去的、扣除的 | v. (p.p.)
sufficient | 充足的、足夠的 | adj.
consecutive | 連續的、接連的 | adj.
evaluate | 評估、評價 | v.
extensive | 廣泛的、大規模的 | adj.
categories | 類別、範疇 | n.
emerged | 浮現、出現、脫穎而出 | v.
nationwide | 全國性的 | adj. / adv.
backlash | 強烈反對、集體反彈 | n.
leisure | 閒暇、悠閒 | n.
reluctant | 不情願的、勉強的 | adj.
elaborate | 詳盡闡述、精心製作的 | v. / adj.
separately | 分別地、個別地 | adv.
suffer | 遭受、蒙受、受苦 | v.
reputations | 名聲、聲望 | n.
credibility | 可信度、信用 | n.
toothpaste | 牙膏 (原筆記 ctoothpaste 應為此字) | n.
attended | 出席、參加 (原筆記 attenoted 應為此字) | v. (p.p.)
nonetheless | 儘管如此、然而 | adv.
likewise | 同樣地 | adv.
veteran | 資深人士、老兵 | n.
owing to | 因為、由於 | prep phr.
spotless | 一塵不染的、無暇的 | adj.
achieving | 達成、實現 | v. (ing)
animator | 動畫師 | n.
narrator | 旁白、敘述者 | n.
audience | 觀眾、聽眾 | n.
recurring | 循環的、反覆出現的 | adj.
multiday | 為期多日的 | adj.
multilingual | 多種語言的 | adj.
revitalize | 使恢復生氣、振興 | v.
brighten | 使明亮、使更愉快 | v.
artistic | 藝術的 | adj.
murals | 壁畫 | n.
grant | 撥款、補助金、同意 | n. / v.
eager | 渴望的、熱切的 | adj.
sets | 佈景、套組、建立 | n. / v.
take part in | 參加、參與 | phr v.
visibility | 能見度、知名度 | n.
trial | 試用、試驗、審判 | n.
establishing affiliations | 建立隸屬關係/合作關係 | phr.
attempt | 嘗試、企圖 | n. / v.
account for | 佔...比例、解釋、說明 | phr v.
contribute to | 貢獻、促成、導致 | phr v.
lease | 租約、租賃 | n. / v.
square feet | 平方英尺 (原筆記 fsquaer feet 應為此字) | n phr.
journalist | 記者、新聞工作者 | n.
desired | 渴望的、理想的 | adj.
district | 地區、行政區 | n.
boulevard | 大道 | n.
distinction | 區別、卓越、殊榮 | n.
unaffected | 未受影響的 | adj.
affected | 受影響的 | adj.
association | 協會、關聯 | n.
signage | 標誌、告示牌 | n.
optional | 選修
vehicular | 車輛的 | adj.
commended | 受到表揚的、稱讚的 | v. (p.p.) / adj.
stagnant | 停滯的、不景氣的 | adj.
sustain | 維持、支撐、遭受 | v.
critically | 批判性地、嚴重地 | adv.
downturn | (經濟)衰退、低迷 | n.
precisely | 精確地、準確地 | adv.
exponential | 指數級的、倍數成長的 | adj.
continuously | 持續不斷地 | adv.
innovate | 創新、革新 | v.
unveiled | 揭幕、發表(新產品) | v. (p.p.)
capitalize | 利用、獲利、使資本化 | v.
promptly | 迅速地、準時地 | adv.
impact | 影響、衝擊 | n. / v.
policies | 政策、規定、保險單 | n.
compliance | 遵守、服從(法規) | n.
safeguarding sensitive | 保護敏感(資訊) | phr.
compromised | 妥協的、受損的、(資安)被洩漏的 | adj. / v. (p.p.)
criticized | 受到批評的 | v. (p.p.)
commended | 受到表揚的 | v. (p.p.)
driven | 受...驅動的、有急迫感的 | adj.
figuratively | 比喻地、象徵性地 adv. 
greatly | 極大地、非常 adv. 
receptively | 善於接受地、虛心地 adv. 
conversely | 相反地 adv. 
in light of | 考慮到、鑒於 phr. 
in contrast to | 與...相比、與...截然不同 phr. 
Committed | 致力於...的、承諾的 adj. 
fewer | 較少的(接可數名詞) adj. 
amassing | 累積、積聚 v. (ing) 
embracing | 擁抱、欣然接受 v. (ing) 
grabbing | 抓住、奪取 v. (ing) 
encircling | 環繞、圍繞 v. (ing)
rapid | 快速的、急速的 | adj.
thanks to | 由於、多虧了 (原筆記 thank to 應為此) | phr.
irreversible | 不可逆轉的、不可挽回的 | adj.
deductible | 可扣除的、(保險)自負額 | adj. / n.
receptively | 善於接受地、虛心地 | adv.
exceptional | 卓越的、例外的、非凡的 | adj.
glitches | (電腦、系統)小故障、小紕漏 | n.
no wonder | 難怪、不足為奇 | phr.
volatile | 不穩定的、易變的、易揮發的 | adj.
theoretical | 理論上的、假設的 | adj.
surge | 激增、湧動 | n. / v.
pollution | 汙染 (原筆記 opllution 應為此) | n.
airborne | 空氣傳播的、在大氣中的 | adj.
in order to | 為了... (原筆記 in oder to 應為此) | phr.
halt | 停止、終止 | v. / n.
courtyard | 庭院、天井 | n.
aggressive | 積極進取的、具侵略性的 | adj.
respective | 各自的、各別的 | adj.
sequence | 順序、次序 | n.
timely | 及時的、適時的 | adj. / adv.
deny | 否認、拒絕給予 | v.
facilitate | 促進、使便利 (原筆記 faciliate 應為此) | v.
specialization | 專業化、專長 | n.
integral | 不可或缺的、整體的 | adj.
unexpectedly | 出乎意料地 | adv.
nearly | 幾乎、將近 | adv.
productive | 富有成效的、多產的 | adj.
persuade | 說服、勸服 | v.
unfavorable | 不利的、不理想的 | adj.
transition | 轉換、過渡期 | n. / v.
foremost | 最重要的、領先的 | adj. / adv.
designated | 指定的、選定的 | adj. / v. (p.p.)
lorries | 大貨車、卡車 | n.
eliminated | 排除、淘汰、消除 | v. (p.p.) / adj.
apparent | 明顯的、顯而易見的 | adj.
attire | 服裝、衣著 | n.
insulation | 隔熱、絕緣、隔音 | n.
be accounted for | 被解釋、被列入計算、(人)確認安全 | phr.
enlarge | 擴大、放大 | v.
exclusively | 專門地、獨家地、排他地 | adv.
outstanding | 傑出的、未償付的(帳單) | adj.
rationale | 根本原因、邏輯依據 | n.
regain | 恢復、重新獲得 | v.
staff lounge | 員工休息室 | n phr.
tentative | 暫定的、試驗性的 | adj.
understaffed | 人手不足的 | adj.
masterminded | 策劃、主導 
template | 範本、模板 | n.
diverse | 多樣的、多元的 | adj.
revision | 修訂、修正 | n.
imperative | 至關重要的、必要的 | adj.
insufficient | 不足的、不夠的 | adj.
reproduce | 複製、翻印、繁殖 | v.
subsequent to | 在...之後 | phr.
hookups | 連接、接頭、設施連接 | n.
wires | 電線、線路 | n.
fuel | 燃料 (原筆記 fule 應為此) | n. / v.
failure | 故障、失敗、衰竭 | n.
separate | 分開、獨立的 (原筆記 sparate 應為此) | v. / adj.
storing | 儲存、存放 | v. (ing)
waive | 免除、放棄(權利/費用) | v.
instead | 反而、替代 (原筆記 instrad 應為此) | adv.
invalid | 無效的、作廢的 | adj.
Favor | 偏愛、贊同、恩惠 | n. / v.
Withstand | 承受、頂住、經得起 | v.
Retain | 保留、保有 | v.
Informal approach | 非正式的方法、非正式途徑 | phr.
Sort out | 整理、解決、分類 | phr v.
Allocate | 分配、撥給 | v.
patrons | 老顧客、贊助者 | n.
aerobics | 有氧運動 | n.
county | 縣、郡 | n.
dispatch | 派遣、調度、發送 | v. / n.
electricity | 電、電力 | n.
electric | 電的、用電的 | adj.
Charities | 慈善機構、慈善事業 | n.
Fixed | 固定的、不變的 | adj.
Glowing | 讚揚的、熾熱的、發光的 | adj.
Rigid | 堅固的、死板的、嚴格的 | adj.
Make a commitment | 做出承諾、致力於 | phr.
forbidden | 禁止的、嚴禁的 | adj.
congestion | 擁擠、堵塞 | n.
philanthropic | 慈善的、博愛的 | adj.
Impressive | 令人印象深刻的 | adj.
Declined | 下降、婉拒 | v. (p.p.)
Tailoring | 裁縫、調整(計畫等)以適應 | n. / v.
Embroidery | 刺繡 | n.
Autonomy | 自治權、自主性 | n.
Perspective | 觀點、遠景、透視圖 | n.
accountable | 應負責任的、有解釋義務的 | adj.
acquaint | 使認識、使熟悉 | v.
accordingly | 因此、相應地 | adv.
count on | 依靠、指望 | phr v.
directory | 工商名錄、目錄、電話簿 | n.
periodically | 定期地、週期性地 | adv.
pertinent | 相關的、中肯的 | adj.
provisionally | 臨時地、暫時地 | adv.
reliable | 可靠的、可信賴的 | adj.
solidify | 鞏固、使凝固 | v.
superb | 極好的、一流的 | adj.
surpass | 超過、勝過 | v.
bachelor's degree | 學士學位 | n phr.
clerical | 文書的、辦公室事務的 | adj.
compensation | 報酬、薪酬、補償 | n.
confidential | 機密的、保密的 | adj.
consistently | 一貫地、始終如一地 | adv.
electronically | 電子化地 | adv.
ethic | 道德、倫理 | n.
evident | 明顯的、明白的 | adj.
familiarity | 熟悉、精通 | n.
fill | 遞補、填充(職缺) | v.
fit | 適合、合適 | v. / adj.
ideal | 理想的 | adj.
proficiency | 精通、熟練 | n.
prospective | 預期的、潛在的 | adj.
architecture | 建築學、建築風格 | n.
insist | 堅持、強調 | v.
related | 相關的 | adj.
suited | 合適的 | adj.
workforce | 勞動力、全體員工 | n.
Dominant | 佔優勢的、支配的 | adj.
Fridge | 冰箱 | n.
directive | 指令、方針、指導的 | n. / adj.
prohibiting | 禁止、阻止 | v. (ing)
directness | 直接、坦率 | n.
Recognized | 被認可的、公認的 | adj. / v. (p.p.)
expertise | 專業知識、專長 | n.
prompted | 促使、導致、激起 | v. (p.p.)
comprehensible | 可理解的、易懂的 | adj.
regarded | 被視為...、受尊敬的 | v. (p.p.) / adj.
Assure | 向...保證、使確信 | v.
Insure | 投保、確保 | v.
concerning | 關於 (等於 about) | prep.
prolong | 延長、拉長 | v.
broaden | 拓寬、擴大 | v.
cautioned on spending | 告誡(關於支出) | phr.
Acquire | 收購、獲得、習得 | v.
Tremendous | 巨大的、極好的 | adj.
Harmonious | 和諧的、融洽的 | adj.
Hilarious | 極好笑的、滑稽的 | adj.
Consumer | 消費者 | n.
Detrimental | 有害的、不利的 | adj.
Sentimental | 多愁善感的、情感上的 | adj.
Optimistically | 樂觀地 | adv.
haphazardly | 隨意地、雜亂無章地 | adv.
precautions | 預防措施、防範 | n.
Praised | 受到讚揚的 | v. (p.p.) / adj.
Engage | 從事、參與、吸引 | v.
Abandoned | 被遺棄的、廢棄的 | adj.
Abandon | 放棄、拋棄 | v.
Abandoning | 放棄、拋棄 | v. (ing)
Predecessor | 前任、前輩、原先的東西 | n.
deductible | 可扣除的、(保險)自負額 | adj. / n.
constantly | 不斷地、時常地 | adv.
belongings | 個人物品、財產 | n.
disaster | 災難、大禍 | n.
contaminated | 被汙染的 | adj.
accomplished | 熟練的、有造詣的、完成的 | adj.
chopped | 切碎的 | v. (p.p.) / adj.
immense | 巨大的、廣大的 | adj.
pressurize | 密封、加壓 | v.
Recipients | 接受者、收件人 | n.
Qualification | 資格、條件 | n.
Manner | 方式、態度 | n.
Liable | 應負責任的、易於...的 | adj.
Steep | 陡峭的、(價格)急劇升降的 | adj.
Verbal | 口頭的、言詞的 | adj.
Markedly | 顯著地、明顯地 | adv.
Reactions | 反應、回饋 | n.
Turn | 輪流、轉變 | n. / v.
May face | 可能面臨 | phr.
Slot | 時段、狹槽 | n.
Chain | 連鎖、鏈條 | n.
Establishment | 機構、企業、建立 | n.
Chain establishments | 連鎖機構/商店 | n phr.
As of | 起、自...起 | prep phr.
Affordable | 負擔得起的、平價的 | adj.
Stylist | 造型師、設計師 | n.
Stylish | 時髦的、有風格的 | adj.
Adjacent | 鄰近的、隔壁的 | adj.
Determines | 決定、判定 | v.
Preserve | 保存、保護 | v.
Premises | (企業或機構的)場區、經營場所 | n.
Savory | 鹹的、美味可口的 | adj.
sequential | 按次序的、連續的 | adj.
impartial | 公正的、無偏見的 | adj.
prides | 以...自豪 (通常用 pride oneself on) | v. / n.
stadium | 體育場、露天運動場 | n.
massive | 巨大的、大量的 | adj.
tablet | 平板電腦、藥片 | n.
congratulate | 祝賀、恭喜 | v.
momentarily | 瞬間、短暫地、立刻 | adv.
so that | 為了、以便 | conj.
as for | 至於、關於 | phr.
as | 如同、按照、當作 | prep. / conj.
obligation | 義務、責任 | n.
neatly | 整潔地、乾淨利落地 | adv.
unwanted | 不需要 的、多餘的 | adj.
accept | 接受、認可 | v.
resistance | 抵抗、阻力 | n.
streamlines | 簡化、使效率更高 | v.
haphazardly | 隨意地、雜亂無章地 | adv.
precautions | 預防措施、防範 | n.
Praised | 受到讚揚的 | v. (p.p.) / adj.
Engage | 從事、參與、吸引 | v.
Abandoned | 被遺棄的、廢棄的 | adj.
Abandon | 放棄、拋棄 | v.
Abandoning | 放棄、拋棄 | v. (ing)
Predecessor | 前任、前輩 | n.
deductible | 可扣除的、(保險)自負額 | adj. / n.
constantly | 不斷地、時常地 | adv.
belongings | 個人物品、財產 | n.
disaster | 災難、大禍 | n.
contaminated | 被汙染的 | adj.
accomplished | 熟練的、有造詣的 | adj.
chopped | 切碎的 | v. (p.p.) / adj.
immense | 巨大的、廣大的 | adj.
pressurize | 密封、加壓 | v.
Popularity | 受歡迎、流行 | n.
Capable | 有能力的、足以...的 | adj.
Restoring | 恢復、修復 | v. (ing)
Retaining | 保留、保持 | v. (ing)
Prohibit | 禁止、阻止 | v.
Just as | 正如、正當...之時 | phr.
Indirectly | 間接地 | adv.
Trays | 托盤、置物盤 | n.
Impartially | 公正地、無偏見地 | adv.
Opposing | 相反的、對抗的 | adj.
Broadcast | 廣播、播放 | v. / n.
Acclaimed | 受到讚揚的、廣受好評的 | adj.
Distinctive | 獨特的、有特色的 | adj.
Approximately | 大約、大概 | adv.
Appropriately | 適當地、妥善地 | adv.
Prospective | 預期的、潛在的 | adj.
Repetitive | 重複的、反覆的 | adj.
Inevitably | 必然地、不可避免地 | adv.
Geared | 為了...而準備的、適合...的 | adj. / v. (p.p.)
Confined | 受限制的、封閉的 | adj.
carton | 紙盒 | n.
allergic | 過敏的 | adj.
voluntary | 自願的、自發的 | adj.
mislabeled | 標籤標示錯誤的 | adj.
indicate | 顯示、指出 | v.
unprecedented | 史無前例的 | adj.
regret | 遺憾、抱歉 | v. / n.
Piracy | 盜版、侵權行為 | n.
Currency | 貨幣、流通 | n.
Literacy | 識字、(特定領域的) 知識能力 | n.
athletes | 運動員 | n.
marriage | n. | 婚姻；結婚
barrier | n. | 障礙；屏障
compound | n./v./adj. | 混合物；混合；複合的
prize | n./v./adj. | 獎品；重視；得獎的
illustration | n. | 插圖；說明
lack | n./v. | 缺乏；沒有
portfolio | n. | 文件夾；作品集；投資組合
interior | n./adj. | 室內；內部的
build | v. | 建造；建立
wonder | v./n. | 想知道；驚奇
income | n. | 收入
anniversary | n. | 週年紀念日
blossom | n./v. | 花；開花；繁榮
society | n. | 社會；協會
derive | v. | 起源於；衍生
disappoint | v. | 使失望
franchise | n./v. | 特許經營權；授權
margin | n. | 邊緣；利潤；頁邊空白
briefly | adv. | 簡短地；短暫地
spacious | adj. | 寬敞的
maintenance | n. | 維修；保養；維持
renovation | n. | 裝修；翻新
wrap | v./n. | 包裝；圍繞；包裹物
lane | n. | 小路；車道
resign | v. | 辭職；放棄
description | n. | 描述；說明
strict | adj. | 嚴格的
notice | v. | 注意到
aware | adj. | 意識到的；知道的
commitment | n. | 承諾；責任
besides | prep./adv. | 除了…之外；此外
overdue | adj. | 過期的；延誤的
itinerary | n. | 行程表；旅程
complicated | adj. | 複雜的
curator | n. | 館長；策展人
surround | v. | 包圍；圍繞
element | n. | 要素；成分
fierce | adj. | 激烈的；兇猛的
manipulate | v. | 操控；巧妙處理
unless | conj. | 除非
polish | v./n. | 擦亮；磨光；光澤
bond | n./v. | 聯繫；結合；黏合
stack | v. | 堆疊；堆放
omission | n. | 省略；疏忽
transaction | n. | 交易；業務往來
pedestrian | n./adj. | 行人；平凡的
consensus | n. | 共識；一致意見
extension | n. | 延長；分機
merit | n. | 優點；價值
refreshment | n. | 茶點；飲料
auditorium | n. | 禮堂；大會堂
trim | v. | 修剪；整理
possession | n. | 擁有；所有物
involvement | n. | 參與；牽連
hesitate | v. | 猶豫；遲疑
deserve | v. | 值得；應得
specialty | n. | 專長；特產
casual | adj. | 非正式的；隨意的
exhibition | n. | 展覽；展示會
candidate | n. | 候選人；應徵者
critical | adj. | 批評的；關鍵的
investigation | n. | 調查；研究
facility | n. | 設施；設備
parade | n./v. | 遊行；列隊行進
obligation | n. | 義務；責任
significant | adj. | 重要的；顯著的
ambition | n. | 志向；雄心
unfortunately | adv. | 不幸地；可惜地
clinic | n. | 診所
receptionist | n. | 接待員；櫃檯人員
variety | n. | 各種；多樣性
recession | n. | 蕭條；景氣衰退
conduct | v. | 指揮；進行
appliance | n. | 家電用品；器具
ceremony | n. | 儀式；典禮
crack | n/v | 裂縫、破裂
inventory | n | 庫存
dispute | n/v | 爭議、爭執
distinguish | v | 區分
oven | n | 烤箱
souvenirs | n | 紀念品
expert | n | 專家
excerpt | n | 節錄
gallery | n | 畫廊
regarding | prep | 關於
manufacturing | n | 製造業
contact | n/v | 聯絡、聯繫
outage | n | 中斷
boost | n/v | 提高、增加、改善
bid | n/v | 投標、出價
